ds,y,tool,dz
7/27/2022,139.2483,23,dz3
7/27/2022,140.1334,8,dz3
7/28/2022,141.2626,8,dz3
7/28/2022,140.82,23,dz3
7/29/2022,140.2783,23,dz3
7/29/2022,140.347,8,dz3
7/30/2022,140.6598,8,dz3
7/30/2022,139.9426,23,dz3
7/31/2022,141.1862,8,dz3
7/31/2022,140.8124,23,dz3
8/6/2022,137.7453,8,dz3
8/6/2022,135.7845,23,dz3
8/7/2022,140.7743,23,dz3
8/7/2022,140.7743,8,dz3
8/10/2022,137.8903,23,dz3
8/10/2022,138.432,8,dz3
8/11/2022,141.0337,23,dz3
8/11/2022,140.4157,8,dz3
8/12/2022,141.026,23,dz3
8/12/2022,140.5911,8,dz3
8/13/2022,140.4004,23,dz3
8/13/2022,140.7437,8,dz3
8/14/2022,140.5454,23,dz3
8/14/2022,139.7672,8,dz3
8/15/2022,139.3933,23,dz3
8/15/2022,139.7977,8,dz3
8/18/2022,139.4543,8,dz3
8/18/2022,140.1334,23,dz3
8/19/2022,140.7666,8,dz3
8/19/2022,140.7743,23,dz3
8/20/2022,140.9879,8,dz3
8/20/2022,140.7056,23,dz3
8/21/2022,140.7285,23,dz3
8/21/2022,140.965,8,dz3
8/22/2022,140.0189,8,dz3
8/22/2022,139.1491,23,dz3
8/23/2022,140.1028,8,dz3
8/23/2022,138.5998,23,dz3
8/25/2022,137.5774,23,dz3
8/25/2022,135.9523,8,dz3
8/26/2022,129.5816,8,dz3
8/26/2022,1.503037,23,dz3
8/27/2022,140.1868,23,dz3
8/27/2022,139.6603,8,dz3
8/28/2022,139.9655,23,dz3
8/28/2022,139.0957,8,dz3
8/29/2022,139.9884,23,dz3
8/29/2022,139.523,8,dz3
8/30/2022,140.5606,23,dz3
8/30/2022,140.3928,8,dz3
8/31/2022,139.9503,8,dz3
8/31/2022,140.6217,23,dz3
9/5/2022,140.2173,23,dz3
9/5/2022,139.3704,8,dz3
9/6/2022,141.4686,23,dz3
9/6/2022,140.8887,8,dz3
9/7/2022,140.0189,23,dz3
9/7/2022,140.0342,8,dz3
9/8/2022,138.9508,23,dz3
9/8/2022,138.6608,8,dz3
9/12/2022,140.3775,8,dz3
9/12/2022,140.3546,23,dz3
9/13/2022,140.1334,8,dz3
9/13/2022,139.5688,23,dz3
9/14/2022,140.6598,23,dz3
9/14/2022,140.2783,8,dz3
9/15/2022,140.1944,23,dz3
9/15/2022,140.6827,8,dz3
9/16/2022,140.8124,23,dz3
9/16/2022,140.3775,8,dz3
9/17/2022,140.4462,8,dz3
9/17/2022,140.1868,23,dz3
9/18/2022,139.8206,23,dz3
9/18/2022,140.2707,8,dz3
9/20/2022,135.7005,23,dz3
9/20/2022,135.0291,8,dz3
9/21/2022,138.348,23,dz3
9/21/2022,138.6608,8,dz3
9/22/2022,137.7682,23,dz3
9/22/2022,137.4477,8,dz3
9/23/2022,138.3175,23,dz3
9/23/2022,138.3404,8,dz3
9/24/2022,137.5622,8,dz3
9/24/2022,137.7377,23,dz3
9/25/2022,135.7158,8,dz3
9/25/2022,87.66442,23,dz3
9/28/2022,135.9371,8,dz3
9/28/2022,135.9447,23,dz3
9/29/2022,140.202,8,dz3
9/29/2022,140.0266,23,dz3
10/1/2022,0,23,dz3
10/1/2022,0,8,dz3
10/2/2022,0,8,dz3
10/2/2022,0,23,dz3
10/3/2022,140.904,8,dz3
10/3/2022,140.2173,23,dz3
10/4/2022,140.1257,23,dz3
10/4/2022,140.1105,8,dz3
10/5/2022,140.6293,23,dz3
